customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,customer
4854.745666,29834,64,19,44,0,3,307.2,95069
4293.997319,16701,113,20,26,0,1,831.625979,46645
7164.395543,46623,91,1,53,0,3,436.8,17488
7619.5158,64749,64,24,59,0,2,302.56519,67935
3958.002823,0,101,29,12,0,1,484.8,37417
4499.493252,16969,124,34,47,2,1,704.768111,29312
4059.567414,11621,108,4,98,0,1,518.4,61619
4458.113369,17622,65,1,36,1,3,312.0,86811
8110.333139,11489,105,4,50,0,6,504.0,83859
3339.764873,0,94,20,53,0,1,863.327324,63582
24261.01777,66525,100,0,86,0,2,104.331355,71951
6613.973653,0,63,21,28,0,2,676.391482,37082
2930.693543,33663,73,29,71,0,1,350.4,52139
8672.194272,22547,112,7,60,0,3,537.6,82372
11638.66926,61486,97,5,65,0,2,465.258644,45816
6846.150323,0,95,13,20,0,5,456.0,33762
11727.77648,29879,102,17,0,0,2,500.254235,33670
22643.83478,93011,113,17,12,0,2,281.451042,70169
2614.474305,65186,65,29,27,0,1,5.434505,91628
2451.752695,26840,64,1,47,2,1,307.2,87852
6781.270203,0,104,30,3,1,5,982.399613,20453
4974.801539,75644,65,5,68,3,9,467.803638,87372
8591.604933,38984,73,27,38,0,2,350.4,23800
5592.161392,71811,71,17,48,0,6,29.03416,87709
8009.472833,20961,67,20,33,0,2,321.6,13033
11318.08982,38923,99,6,83,2,2,115.728852,31673
58166.55351,61321,186,0,30,1,2,427.63121,82309
8025.229358,0,77,20,26,0,2,25.807685,35962
5780.182197,51066,74,23,0,0,8,787.993313,85817
4118.539113,34378,102,12,54,0,1,489.6,85712
2523.07015,43072,63,35,15,0,1,302.4,88573
6554.216396,25222,90,28,69,0,3,475.623251,19467
7703.397294,36765,66,15,32,1,2,320.849072,88410
5926.729379,23091,96,28,90,5,5,460.8,79815
2683.470677,48269,69,3,79,3,1,282.151207,35222
2695.182419,32720,67,13,12,0,1,321.6,15590
6047.02516,20396,76,15,60,1,4,364.8,48267
13171.01282,21513,119,21,81,1,2,679.827592,67916
10656.88195,72540,88,7,3,0,2,631.743039,75231
2527.653796,80744,63,24,84,0,1,11.879037,33664
2672.095756,52822,67,23,88,0,1,350.529033,30175
5313.294035,0,77,8,10,1,9,863.3947,44465
20946.19251,69738,74,2,26,1,2,492.127532,87155
8375.353929,17780,109,12,18,0,9,132.588288,48895
4801.661503,18107,62,29,11,0,8,297.6,30757
5745.94334,57740,74,30,87,3,9,269.905129,22468
6066.115969,32627,76,11,60,0,7,380.036697,30935
8002.308333,0,107,3,65,0,3,513.6,93476
2393.915369,0,70,24,10,0,1,425.266308,96670
4762.8179,65795,62,2,85,1,3,49.011099,64261
4330.38602,60475,107,9,18,0,1,513.6,68375
9402.729769,0,130,28,88,0,4,936.0,51653
6966.694527,41837,88,29,93,0,9,142.062768,96662
7694.064293,32303,65,13,34,0,2,45.152521,52087
8717.561149,0,117,5,89,1,3,561.6,75225
5928.748528,40531,74,17,32,0,9,30.567357,80820
2452.977288,79898,62,5,86,1,1,271.606799,99037
6701.571657,56398,85,4,18,0,7,408.0,57118
7556.24034,35257,98,16,2,1,8,470.4,74870
8492.6988,27804,109,19,54,0,7,784.8,14219
7713.494046,45506,66,16,32,2,2,316.8,20603
24084.5352,65196,67,0,54,0,2,396.082036,48975
7290.069769,0,102,11,70,1,3,489.6,70886
4772.943848,20993,133,35,90,0,1,638.4,72557
6806.491395,37839,86,35,77,0,9,465.633954,28638
2469.781334,92711,62,24,10,0,1,368.400146,55033
3103.923041,74665,78,10,90,2,1,236.902001,88645
2981.875575,0,83,26,89,0,1,582.679087,36855
8902.737595,46833,112,6,3,0,9,64.109663,82151
5499.447223,88768,68,17,77,0,7,326.4,22043
15023.59858,28262,192,9,77,0,3,921.6,36774
2509.107875,33555,63,17,11,0,1,101.89645,43724
31221.7481,42780,113,10,27,1,2,542.4,85960
3133.503432,58850,78,20,26,0,1,143.747794,55993
3837.451863,21880,97,29,37,0,1,424.077159,36627
11790.49617,25251,66,13,43,0,2,316.8,48047
7838.068321,0,69,9,12,0,2,2.704934,50392
4305.808345,24188,109,14,82,0,1,523.2,65059
5973.976904,41611,74,14,8,0,8,113.801497,21968
5670.442396,28406,72,16,35,1,4,192.87572,87025
4731.749346,69833,118,32,99,0,1,828.662719,13499
8026.379641,0,74,15,91,0,2,532.8,44523
4022.963529,0,117,6,1,0,1,975.107098,41162
9618.310865,80536,119,5,83,0,3,53.798708,25891
2274.775451,0,63,2,5,0,1,606.642452,81636
9552.926922,97732,79,0,70,0,2,289.9122,26335
10388.55323,61222,89,20,55,0,2,392.604371,95587
2470.121222,0,74,7,20,0,1,721.242206,81757
5619.068508,50335,140,9,54,0,1,456.52385,94107
9047.119209,0,127,30,11,0,6,1087.995426,84436
6692.143668,63221,168,28,49,0,1,806.4,64727
3731.504584,0,96,31,34,0,1,460.8,19287
3660.770258,64495,92,34,30,0,1,251.992083,18643
7928.829252,0,72,7,75,0,2,345.6,82578
5011.751577,28859,67,24,51,3,4,321.6,67861
7988.258292,77330,99,0,21,0,3,99.257608,43143
3885.456401,0,105,3,92,0,1,504.0,59571
2659.337982,24495,70,29,65,0,1,336.0,83998
8564.768226,95697,107,29,29,0,9,178.006524,25797
4885.162511,26372,126,11,7,0,1,604.8,27940
9753.307106,17514,127,2,5,0,3,8.312729,77946
2946.153697,89270,74,17,90,0,1,316.599228,50253
2581.110945,29757,65,13,55,0,1,312.0,15332
3517.385764,51814,92,28,89,0,1,56.300724,62865
9743.350113,24028,82,14,27,0,2,393.6,15295
3873.647046,28142,105,18,50,0,1,701.708239,61892
7649.28199,52705,64,14,8,1,2,128.705563,94884
2287.59692,0,63,1,5,0,1,679.368378,87334
4475.424592,84903,111,7,63,0,1,497.126827,93326
8714.922135,0,118,14,64,0,4,566.4,74911
2248.449633,24910,63,7,63,1,1,347.857619,69864
7416.197322,0,77,15,12,2,2,554.4,53154
7771.158973,21876,68,12,28,0,2,465.41477,78966
6968.3419,0,69,33,61,1,2,496.8,13702
4250.282624,0,61,17,1,1,7,292.8,10809
19776.56654,70699,82,1,57,0,2,256.813837,87217
21343.46599,0,74,11,85,1,2,355.2,95618
2413.139714,27501,63,20,0,0,1,542.319401,19868
15363.84716,15897,101,30,99,0,2,303.148399,45550
8456.961887,25141,73,12,4,1,2,25.438063,87004
2189.642522,0,61,5,46,3,1,292.8,75747
5780.182197,51066,74,23,0,0,8,787.993313,91392
4639.981638,28358,117,24,37,0,1,84.024413,72731
4465.335703,61846,112,1,48,0,1,215.8182,49126
5968.118877,90972,74,3,47,0,8,232.926145,12901
5097.763337,0,74,3,95,0,7,532.8,37561
4076.634665,29549,104,17,51,0,1,710.433775,90090
12252.60179,0,115,12,17,1,2,552.0,25463
16936.27147,39411,217,4,29,2,4,1122.658899,11055
4892.435461,21709,62,28,17,0,3,408.374746,33979
9942.304791,67890,85,23,57,0,2,408.0,71023
3735.838129,0,110,3,16,0,1,792.0,13432
13117.52215,84311,111,11,98,4,2,532.8,97704
4574.524094,99316,114,26,53,0,1,754.358929,46533
5470.060561,54507,138,20,11,0,1,702.990032,47431
2978.84601,64586,76,3,17,0,1,206.837111,73582
6410.967544,61709,82,5,41,2,7,275.395894,98763
4479.023088,94656,111,12,79,1,1,459.738128,62831
2383.731879,0,69,5,40,0,1,496.8,33449
2764.493659,61085,70,27,34,1,1,336.0,85083
7920.105377,89284,67,7,31,3,2,321.6,95328
6889.097981,0,63,6,12,0,2,302.4,21086
3274.194616,31686,81,11,33,0,1,430.994107,83902
9951.707743,56855,255,12,1,0,1,1836.0,62651
2521.555686,53703,67,3,45,2,1,67.632476,25874
23706.11337,0,96,12,35,1,2,844.481918,41854
6047.02516,20396,76,15,60,1,4,364.8,70227
11140.30248,27679,150,30,28,0,3,722.486994,22297
4334.064096,23904,123,1,67,3,1,590.4,14138
2799.74791,65351,69,4,54,0,1,481.027516,62808
7923.136624,0,113,20,1,0,7,1124.427734,64745
3688.110888,0,63,0,54,3,7,669.682001,34139
12067.45599,0,116,14,35,0,2,1284.093173,11219
2924.976721,64459,72,16,64,0,1,240.259479,12304
15014.0927,32961,190,13,53,0,3,912.0,64087
9277.233839,71416,116,10,0,0,3,556.8,38576
6274.123875,68964,78,15,6,0,3,115.086827,76355
3886.647414,78108,98,12,34,0,1,470.4,66913
4386.277558,10621,67,28,22,0,5,321.6,95702
11365.26766,84910,95,4,69,0,2,383.167471,54357
5610.96434,77493,70,2,35,0,3,307.963291,78112
2912.892035,81097,74,7,67,0,1,355.2,16891
6915.729915,96610,85,6,23,0,3,520.364752,31350
6262.663307,30110,159,20,71,0,1,466.436375,30924
6503.397049,22081,84,1,9,0,6,451.670309,78748
8007.399376,0,112,12,93,0,3,537.6,33386
2929.916512,98473,72,19,69,0,1,345.6,44221
5969.55297,97431,74,1,72,0,3,355.2,60013
5473.15987,93870,69,1,96,0,8,331.2,21533
5645.396665,50366,72,9,5,0,9,428.734656,94121
6369.262355,34498,83,30,72,0,7,398.4,68427
11833.76732,16552,103,23,53,0,2,494.4,49565
6121.107929,26787,77,7,50,0,5,369.6,88421
5159.369746,0,74,2,42,0,9,831.752839,51983
2514.59196,43860,65,15,58,0,1,156.124914,88896
8668.611261,21474,114,13,72,2,9,373.428187,22553
4960.965384,18174,66,8,16,0,9,395.934815,14435
5504.139033,0,73,18,45,0,5,350.4,84099
7507.455372,60920,64,10,61,0,2,231.201886,24911
32269.85139,41520,90,18,70,0,2,289.904105,26461
5657.031588,0,152,12,89,0,1,729.6,14283
5061.757902,0,68,19,16,0,8,326.4,50227
5912.783829,72208,73,3,84,0,8,350.4,36570
15182.27975,53863,63,12,30,0,2,105.765111,17484
10747.03094,66446,136,8,77,0,3,639.464548,41158
2050.623512,0,61,18,26,0,1,292.8,87348
2465.444865,64997,63,7,99,1,1,383.442328,55857
5343.121327,64460,66,18,42,0,3,316.8,66923
8119.829071,46618,67,22,77,0,2,99.085943,24514
4605.265164,0,64,13,64,0,4,307.2,32074
6408.785577,49988,84,6,37,5,5,566.935022,36979
2376.533508,0,91,2,8,5,1,436.8,40919
3211.070017,16269,86,6,84,0,1,412.8,73268
5094.522262,72006,64,4,38,0,3,307.2,61691
25755.27817,0,81,3,60,2,2,388.8,13062
8672.229719,0,245,34,83,0,1,2345.413441,35655
8044.73072,44320,67,13,79,0,2,321.6,10526
4001.519098,19782,108,13,66,0,1,773.470977,63417
16706.11699,63933,70,35,98,0,2,424.883448,35016
8544.411077,28224,109,13,13,0,8,523.2,52952
7805.31287,21073,106,25,54,1,3,508.8,76309
6112.756868,63243,77,21,73,0,3,364.240307,28481
4772.943848,20993,133,35,90,0,1,638.4,55092
10979.09559,94827,135,5,64,0,4,354.729129,33451
5004.263818,39161,63,18,83,1,4,283.995953,15558
13223.04379,37534,84,2,0,2,2,403.2,62924
2623.31543,80210,65,30,28,0,1,20.543176,66435
17840.19555,0,62,32,59,0,2,385.115437,45933
5106.111827,30110,64,2,4,0,5,140.165035,71369
17930.60451,21708,68,28,77,0,2,326.4,93290
5457.342569,94731,67,23,65,0,4,321.6,66096
6563.644143,32375,83,17,83,0,6,398.4,33108
4812.525221,16531,63,0,40,0,4,102.879769,93867
29328.04185,32006,94,28,7,0,2,56.868289,78470
5773.520711,81676,72,21,86,0,8,463.158502,90265
6847.1189,71038,86,15,56,0,3,205.444066,67749
3595.31286,0,103,20,43,0,1,741.6,51506
22855.61209,20832,65,8,32,0,2,56.371967,64281
7859.414569,0,113,19,10,0,7,813.6,98193
4115.577437,52405,103,2,27,0,1,494.4,74055
5029.638777,0,133,3,89,0,1,795.864079,76911
4821.418454,26583,128,6,46,4,1,614.4,40674
5004.310469,25486,65,15,53,0,3,72.438681,12740
8630.053943,24065,111,30,1,0,5,532.8,84837
9322.08512,70435,116,0,50,0,4,67.881546,51510
16727.56063,0,76,33,36,2,2,402.636829,58985
3652.532435,39679,92,2,85,0,1,641.388616,60605
6158.601171,0,89,13,45,0,5,342.481173,98052
4376.083958,0,69,21,70,4,3,331.2,53424
5569.456156,53565,71,27,34,1,6,340.8,13873
2576.513006,37574,66,19,14,1,1,412.101933,97014
8346.983233,48259,108,14,79,0,3,73.700573,79936
6323.923864,78532,78,25,87,0,3,374.4,89061
5973.14343,96163,73,23,90,0,3,350.4,10970
4706.676993,0,72,0,86,0,7,345.6,48513
8093.410258,0,114,9,72,1,5,722.024742,59145
5035.744643,72672,63,7,39,0,5,259.361117,84989
9027.867218,99002,112,33,75,1,8,537.6,52858
7288.884849,79494,91,19,30,0,3,396.295614,62068
18042.47942,35704,225,21,35,0,8,358.281562,27538
4992.063043,0,71,6,5,0,3,653.388564,42306
9102.267849,26049,118,17,6,0,6,121.032372,23612
2540.407726,70125,64,21,77,0,1,92.813396,76014
12941.89193,52369,110,34,49,1,2,528.0,96223
2365.348601,0,66,25,51,2,1,159.636956,82000
5720.765064,41770,72,0,60,0,9,476.156957,46980
7035.534088,0,101,16,88,0,8,727.2,56792
2636.97773,31911,67,33,27,0,1,321.6,61565
5395.831967,70051,68,15,69,0,8,42.078345,94808
8382.630118,19683,117,17,41,1,9,561.6,14730
31161.74523,30916,112,7,65,0,2,200.11606,34119
2887.742258,0,80,24,95,0,1,676.944023,77985
8714.922135,0,118,14,64,0,4,566.4,22097
25585.72783,0,116,0,45,0,2,830.623064,17090
10272.6082,60145,132,8,28,0,3,580.473259,23514
4376.363592,63774,111,18,63,0,1,60.036683,68407
5318.89664,25134,67,3,0,0,6,321.6,59592
4719.762191,37057,61,5,48,1,6,47.53101,56083
4428.031583,58577,110,6,62,0,1,303.872752,94723
5879.176092,85857,73,3,19,0,6,100.620067,91032
9416.908485,70602,116,8,47,0,3,481.339891,34457
8288.155579,33816,106,10,97,2,3,508.8,32044
32654.8383,0,153,7,75,0,2,1101.6,30454
4719.450052,89642,121,11,20,4,1,86.320022,84063
3903.474784,60068,98,17,75,0,1,470.4,17596
5457.259678,50044,139,16,14,0,1,667.2,41052
2725.356404,36650,69,2,70,1,1,56.60333,30528
4433.97368,50653,110,29,42,0,1,262.865172,66359
5332.462694,68931,66,32,30,0,7,309.577946,61670
2315.094985,0,73,14,39,1,1,350.4,10761
5411.953687,0,73,1,22,0,5,365.364581,51587
9587.33234,39266,80,33,31,0,2,384.0,21522
22103.5072,0,102,35,48,0,2,489.6,47147
9764.945308,0,98,24,11,1,2,705.6,64638
2567.151468,40864,65,2,75,0,1,9.51528,38459
2650.622781,39035,68,15,65,0,1,244.564334,87316
11264.36334,34923,98,23,82,0,2,639.105556,43478
2168.523464,0,63,1,56,0,1,453.6,34064
8610.667489,0,111,27,36,0,9,532.8,60905
2834.646235,24506,71,7,47,0,1,511.2,18992
8930.139728,0,82,25,63,0,2,554.522969,55753
5536.386959,52220,70,17,42,1,5,336.0,56006
2840.85429,0,74,17,73,0,1,402.449823,69973
8082.880956,53554,67,6,5,0,2,327.020539,43626
5254.734278,34476,67,23,49,1,3,5.3953,84133
5116.237577,0,70,1,11,0,5,131.401291,84453
3034.646997,68205,76,35,14,0,1,99.382943,29524
8024.89992,0,119,6,48,1,8,856.8,89726
18211.14319,53690,154,20,97,0,2,739.2,87503
5121.563312,0,72,2,22,0,5,518.4,90263
2150.178588,0,61,28,31,0,1,292.8,17718
5595.389905,74454,71,25,29,0,3,340.8,32213
7562.824036,0,73,23,91,0,2,350.4,13254
5385.853211,29664,71,1,69,0,3,340.8,45013
4718.558501,15680,64,20,29,0,8,260.879903,16654
9422.567923,47272,79,17,17,3,2,64.546877,84464
3605.860265,21585,92,35,61,0,1,441.6,43527
7762.590564,23827,106,18,77,2,3,37.910623,30676
23444.90045,69906,74,34,32,2,2,202.860399,59704
2558.178159,0,72,7,77,0,1,345.6,19450
5123.170887,89879,63,17,20,0,3,94.030308,85211
2537.744494,0,69,9,89,0,1,331.2,54502
2969.593296,46131,74,27,28,0,1,355.2,38524
4363.124641,54514,109,5,36,3,1,286.234931,56187
5884.308607,0,161,29,1,0,1,1159.2,19416
5272.191556,96668,66,2,95,0,3,316.8,61422
5509.895664,78879,69,9,67,1,4,466.570791,13377
16313.68349,0,69,21,86,0,2,331.2,99948
5678.050167,0,76,8,44,0,3,364.8,34785
12101.20884,0,112,28,30,0,2,1252.406235,26085
2453.570794,29735,69,3,92,0,1,331.2,57969
5075.66267,23082,65,18,90,0,7,312.0,55587
3214.979402,53984,80,15,62,0,1,421.484456,97635
12275.34309,52135,156,6,86,0,9,430.505942,76326
2722.210707,17576,71,29,70,0,1,398.502948,34909
2457.440923,29486,62,19,73,0,1,7.646763,90342
3554.845264,58557,88,4,83,0,1,55.510526,88932
4929.549699,25632,63,27,52,0,7,351.270869,97525
8036.45034,0,112,7,42,0,9,806.4,21647
4276.915328,18768,68,19,53,3,3,647.454583,83487
33473.34946,33190,106,18,95,0,2,508.8,90769
5960.581363,47945,74,32,39,0,3,128.43823,57148
44795.46942,58778,126,6,62,0,2,302.033971,85232
3832.118106,15192,100,1,7,0,1,480.0,74732
6837.932624,51859,171,0,21,0,1,1003.160633,16766
5285.26816,23422,72,25,76,0,3,518.4,55438
3096.511217,21604,79,14,28,0,1,379.2,10880
3589.710715,79298,90,22,2,0,1,244.362072,56175
2582.408525,76731,64,2,68,0,1,201.455005,52289
2487.729726,67282,62,29,27,0,1,297.6,45497
13575.67599,48534,115,29,79,1,2,552.0,62782
4685.504251,77678,116,32,81,0,1,741.418485,57893
28685.82785,48412,104,15,23,0,2,707.430832,30654
2764.032126,33837,72,29,54,4,1,305.575785,66180
6183.111464,23712,85,2,20,0,3,376.126419,60878
3873.647046,28142,105,18,50,0,1,701.708239,36291
18929.3306,72196,68,8,61,0,2,152.184244,59444
5553.295758,68197,69,1,81,0,3,176.819414,70700
5011.259184,75248,63,13,71,0,5,104.454624,71076
10442.44633,0,98,9,50,0,2,941.718054,98768
2199.61781,0,65,5,19,1,1,468.0,24164
8709.845263,41546,111,4,47,0,3,121.306839,84605
7484.310483,46998,96,13,98,0,6,460.8,87846
2613.023132,57099,67,20,37,0,1,67.859881,92052
9080.639651,33897,114,15,67,0,8,539.843003,73702
13770.97618,59207,116,23,21,0,2,556.8,90441
2876.822941,40171,73,8,78,0,1,350.4,35721
5548.031892,67798,69,1,78,0,9,331.2,85336
5097.526248,21665,136,0,25,0,1,765.709629,17561
24143.87556,0,87,9,75,0,2,626.4,85615
3538.059456,0,67,12,67,5,7,321.6,74069
29091.23936,34226,244,29,22,0,2,494.395024,91267
19834.20115,65989,123,4,43,1,2,115.545086,72438
4731.366975,30686,61,22,45,0,3,19.938981,67616
35537.846,0,113,15,6,0,2,799.926741,65731
34611.37896,20090,109,10,59,0,2,523.2,67642
20216.30883,0,183,6,16,0,2,878.4,84567
13976.51925,77094,176,25,29,0,5,444.470676,77534
5904.088162,97413,73,21,80,0,6,268.819985,67540
5595.835041,79189,69,6,97,0,4,331.2,50502
2294.303629,0,62,5,31,0,1,297.6,59698
6273.911874,18577,86,21,76,0,6,412.8,57352
3726.727996,0,112,7,34,1,1,806.4,84449
5285.118669,40783,67,13,43,1,9,321.6,31965
5110.680779,0,74,34,51,0,4,532.8,39060
7126.596501,17483,183,24,63,0,1,1317.6,29359
4601.634099,84394,114,9,38,0,1,691.412378,57173
9155.239699,0,127,3,93,0,3,804.811859,47603
14808.05624,41440,62,20,80,1,2,297.6,31412
8901.678357,0,136,14,69,1,8,1090.86434,36322
5734.598243,98132,71,10,61,0,3,50.587035,81445
4177.696973,0,112,4,49,0,1,537.6,24280
27776.28906,88220,230,28,63,0,2,151.528482,25393
10364.34749,58327,129,31,5,0,3,347.075948,38930
7851.901368,25950,66,27,1,0,2,271.697529,95496
4772.943848,20993,133,35,90,0,1,638.4,24650
14226.50485,65726,177,35,90,0,7,849.6,19309
4031.104947,0,63,35,59,3,3,639.45899,48956
2794.907476,39783,72,28,43,0,1,345.6,88986
4362.931238,58842,110,6,74,0,1,528.0,42794
9624.524417,25629,124,3,70,2,6,595.2,50798
5015.009472,48567,130,12,15,0,1,624.0,45873
6948.422239,0,196,0,73,2,1,1337.063487,35785
2896.918767,33746,74,1,6,1,1,355.2,55703
21903.91364,22254,79,22,75,0,2,125.194389,65180
9028.821403,65974,113,3,43,0,3,235.220971,47180
5303.759534,0,76,18,63,0,3,395.34111,38776
4165.354461,17161,113,1,22,1,1,542.4,90118
5123.768112,0,74,1,62,0,7,772.798511,17648
9492.342964,0,132,9,85,0,6,633.6,95759
8204.863191,0,73,9,14,0,2,350.4,45324
9877.295699,67752,131,4,40,4,9,168.517149,61620
4815.009736,25398,64,30,80,0,6,307.2,86390
6277.011679,0,88,30,19,0,4,633.6,13480
8260.639809,33321,105,6,2,0,3,504.0,61661
2549.450038,0,78,13,32,0,1,845.654042,93182
4502.679656,68798,114,19,69,0,1,92.915251,45563
3803.921781,20325,100,4,6,0,1,668.29397,68644
8635.4035,13129,117,15,93,0,6,700.901632,30498
5510.558964,0,73,24,57,0,4,525.6,74517
3585.884123,49080,91,14,68,0,1,25.299,88660
4889.25278,42536,63,30,57,0,6,375.330097,82036
2756.941661,29926,74,25,34,0,1,418.233667,20929
3289.547398,0,86,5,55,0,1,398.240791,50028
10937.1785,21450,138,15,35,0,4,938.513425,82373
7375.567916,33345,65,32,52,0,2,338.619869,64088
10110.77818,15752,90,27,37,0,2,339.344531,97780
5119.414293,40169,65,1,47,1,3,302.818833,33050
8533.832013,26049,113,10,15,1,9,619.165344,55917
2224.768,0,68,3,4,0,1,326.4,32620
8042.803784,55411,100,24,53,0,4,259.561195,19236
2554.437138,12459,70,4,41,0,1,336.0,47433
18073.93999,64620,76,24,32,1,2,364.8,93608
2430.506586,83140,61,25,70,0,1,179.161843,97711
3167.658442,0,92,20,50,0,1,662.4,96286
5465.603983,54422,68,9,8,0,5,75.501852,17170
10357.51422,68309,131,4,67,0,9,306.983596,47335
2537.813878,56621,65,27,36,2,1,84.026848,46264
2821.947219,38977,70,27,22,0,1,139.489926,87864
7757.128146,0,111,32,13,0,3,607.4459,45403
4079.132667,0,114,12,43,0,1,631.124372,31192
5955.544552,0,83,35,87,0,8,628.023494,89008
14158.61364,83235,70,16,33,0,2,336.0,10490
8487.238032,0,74,7,93,0,2,426.655599,98495
6285.476868,32390,80,20,36,0,8,91.417923,96845
11473.48149,66538,95,14,64,0,2,317.844812,93655
2310.882998,0,64,12,24,0,1,460.8,42725
23594.6802,76358,66,25,3,0,2,86.461582,34046
2514.59196,43860,65,15,58,0,1,156.124914,19885
5380.898636,55350,67,0,13,0,9,321.6,88490
4770.550911,12964,65,2,37,0,4,362.774545,80498
6756.651404,33288,86,1,27,2,9,221.856184,85843
5936.011773,0,84,31,25,0,3,980.169081,66024
3570.760509,56168,88,13,20,0,1,614.675906,51713
6019.960469,0,92,3,28,0,4,662.4,26378
5426.863953,23105,69,15,21,0,3,331.2,18638
2730.313804,36218,68,6,83,0,1,145.252168,14688
4982.681374,52275,62,6,88,0,5,374.240783,97762
8769.266756,49665,74,5,51,0,2,355.2,87108
4220.613534,32471,110,0,87,0,1,528.0,12134
11537.50507,0,86,12,89,1,2,619.2,73248
5887.182043,62773,73,19,57,0,9,80.669257,19789
4700.583771,76694,117,34,23,0,1,561.6,12583
10963.95723,55687,276,33,91,0,1,1324.8,11405
2523.171245,0,70,20,81,0,1,504.0,89683
3757.804716,36633,96,20,61,1,1,460.8,85305
12941.73353,77060,106,23,90,0,2,468.566133,87917
3764.465074,92600,94,9,48,0,1,842.43785,11823
6889.557028,0,66,2,75,0,2,475.2,46571
3623.454198,0,111,6,24,2,1,1171.93117,17116
7582.113842,64801,64,23,19,0,2,268.471802,19541
8277.74558,45257,103,33,90,0,4,494.4,25747
2576.455597,26854,66,31,70,0,1,475.2,86532
8205.387936,85840,102,14,79,2,4,138.722385,27336
19582.46887,26463,72,28,93,0,2,345.6,54378
6481.526576,30689,81,23,51,0,5,467.24802,38190
2599.310879,29590,66,17,18,0,1,467.503236,24005
9830.337629,25965,253,15,59,0,1,1214.4,28656
10442.65139,17269,139,3,31,0,5,667.2,57022
36057.53702,90330,137,0,86,3,2,192.085299,16780
8470.036773,0,113,34,5,0,8,619.973889,94438
8278.786492,0,110,20,66,0,7,1002.782553,41745
4788.932598,0,67,2,49,1,3,321.6,70252
3087.999917,18558,80,17,23,0,1,384.0,92099
4443.736209,46384,113,33,93,0,1,251.774574,81493
7984.086473,0,72,1,77,0,2,866.208321,23819
7180.971028,42303,180,24,66,0,1,1210.920949,54907
15656.03434,71731,130,12,50,0,2,599.648466,26127
5780.182197,51066,74,23,0,0,8,787.993313,60476
20714.94043,0,203,20,66,0,2,2027.724442,97035
5337.352409,0,86,19,93,3,5,619.2,82737
5050.826183,0,69,16,45,0,6,72.852047,21873
5116.624022,26173,68,2,10,1,9,449.819671,51318
